relative_path,expected_cdn_url,status,suggested_action,suggested_fix
"/images/panos/hallway-pano.webp","https://d1t6lpjdsu4646.cloudfront.net/images/panos/hallway-pano.webp",200,KEEP,""
"/images/panos/interior-living-panoramic.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/interior-living-panoramic.jpg",200,KEEP,""
"/images/panos/lounge-pano.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/lounge-pano.jpg",200,KEEP,""
"/images/panos/lounge-pano.webp","https://d1t6lpjdsu4646.cloudfront.net/images/panos/lounge-pano.webp",200,KEEP,""
"/images/panos/master-bedroom-pano.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/master-bedroom-pano.jpg",200,KEEP,""
"/images/panos/steps-pano.jpg","https://d1t6lpjdsu4646.cloudfront.net/images/panos/steps-pano.jpg",200,KEEP,""
"/images/panos/steps-pano.webp","https://d1t6lpjdsu4646.cloudfront.net/images/panos/steps-pano.webp",200,KEEP,""
"/videos/b4a/b4a-1080p.mp4","https://d1t6lpjdsu4646.cloudfront.net/videos/b4a/b4a-1080p.mp4",200,KEEP,""
"/videos/b4a/b4a-1080p.webm","https://d1t6lpjdsu4646.cloudfront.net/videos/b4a/b4a-1080p.webm",200,KEEP,""
"/videos/b4a/b4a-2160p.mp4","https://d1t6lpjdsu4646.cloudfront.net/videos/b4a/b4a-2160p.mp4",200,KEEP,""
"/videos/b4a/b4a-poster.jpg","https://d1t6lpjdsu4646.cloudfront.net/videos/b4a/b4a-poster.jpg",200,KEEP,""
"/videos/b4a/hls/master.m3u8","https://d1t6lpjdsu4646.cloudfront.net/videos/b4a/hls/master.m3u8",200,KEEP,""
"/videos/interior/360-master-bedroom-1-interior.mp4","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/360-master-bedroom-1-interior.mp4",200,KEEP,""
"/videos/interior/360-master-bedroom-1-interior.webm","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/360-master-bedroom-1-interior.webm",200,KEEP,""
"/videos/interior/bathroom-360.mp4","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/bathroom-360.mp4",200,KEEP,""
"/videos/interior/bathroom-360.webm","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/bathroom-360.webm",200,KEEP,""
"/videos/interior/conservatory-360.mp4","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/conservatory-360.mp4",200,KEEP,""
"/videos/interior/conservatory-360.webm","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/conservatory-360.webm",200,KEEP,""
"/videos/interior/front-bedroom-360.mp4","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/front-bedroom-360.mp4",200,KEEP,""
"/videos/interior/front-bedroom-360.webm","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/front-bedroom-360.webm",200,KEEP,""
"/videos/interior/kitchen-360.mp4","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/kitchen-360.mp4",200,KEEP,""
"/videos/interior/kitchen-360.webm","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/kitchen-360.webm",200,KEEP,""
"/videos/interior/lounge-360.mp4","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/lounge-360.mp4",200,KEEP,""
"/videos/interior/lounge-360.webm","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/lounge-360.webm",200,KEEP,""
"/videos/interior/rear-bedroom-360.mp4","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/rear-bedroom-360.mp4",200,KEEP,""
"/videos/interior/rear-bedroom-360.webm","https://d1t6lpjdsu4646.cloudfront.net/videos/interior/rear-bedroom-360.webm",200,KEEP,""
